Rank,Team,G,W-L,Opp Pass,Opp Int,Int Ret Yds,Int Ret TDs
1,South Dakota St. (MVFC),15,11-4,505,21,208,3
2,Villanova (CAA),13,10-3,381,19,169,1
2,Austin Peay (OVC),11,6-5,396,19,271,3
4,Holy Cross (Patriot),13,10-3,362,18,191,3
4,Montana St. (Big Sky),15,12-3,404,18,297,3
4,James Madison (CAA),14,12-2,410,18,199,2
4,Montana (Big Sky),13,10-3,513,18,155,4
8,Harvard (Ivy League),10,8-2,385,17,190,1
8,UT Martin (OVC),13,10-3,420,17,294,2
8,Southeastern La. (Southland),13,9-4,475,17,210,2
11,Southern Ill. (MVFC),13,8-5,367,16,208,2
11,Sacramento St. (Big Sky),12,9-3,392,16,199,1
11,UIW (Southland),13,10-3,478,16,215,1
14,Chattanooga (SoCon),11,6-5,276,15,208,2
14,SFA (ASUN),12,8-4,383,15,138,3
14,Missouri St. (MVFC),12,8-4,399,15,216,3
14,ETSU (SoCon),13,11-2,420,15,344,0
18,Delaware St. (MEAC),11,5-6,286,14,192,1
18,Norfolk St. (MEAC),11,6-5,318,14,140,0
18,Morehead St. (Pioneer),11,7-4,374,14,158,3
18,William & Mary (CAA),11,6-5,406,14,192,2
18,UNI (MVFC),12,6-6,411,14,163,1
18,Eastern Wash. (Big Sky),13,10-3,435,14,148,2
18,Northern Ariz. (Big Sky),11,5-6,435,14,247,1
18,North Dakota St. (MVFC),15,14-1,437,14,130,0
26,Marist (Pioneer),10,5-5,332,13,147,1
26,Mississippi Val. (SWAC),11,4-7,334,13,144,1
26,Florida A&M (SWAC),12,9-3,353,13,201,0
26,Charleston So. (Big South),10,4-6,358,13,160,0
26,Eastern Ky. (ASUN),11,7-4,361,13,339,4
26,Campbell (Big South),11,3-8,370,13,85,1
26,South Carolina St. (MEAC),12,7-5,395,13,83,1
26,Jackson St. (SWAC),13,11-2,401,13,165,1
26,UC Davis (Big Sky),12,8-4,435,13,91,0
26,Sam Houston (ASUN),12,11-1,470,13,247,2
36,Mercer (SoCon),10,7-3,284,12,135,1
36,North Dakota (MVFC),11,5-6,297,12,222,0
36,Gardner-Webb (Big South),11,4-7,326,12,183,1
36,San Diego (Pioneer),11,7-4,329,12,180,2
36,Illinois St. (MVFC),11,4-7,332,12,187,3
36,Columbia (Ivy League),10,7-3,345,12,185,0
36,McNeese (Southland),11,4-7,397,12,190,1
43,Western Caro. (SoCon),11,4-7,309,11,93,1
43,Indiana St. (MVFC),11,5-6,327,11,98,1
43,Furman (SoCon),11,6-5,332,11,159,0
43,Bryant (NEC),11,7-4,339,11,54,0
43,New Hampshire (CAA),11,3-8,341,11,189,1
43,Southeast Mo. St. (OVC),11,4-7,345,11,121,1
43,Kennesaw St. (Big South),13,11-2,392,11,112,0
50,Butler (Pioneer),11,3-8,263,10,96,1
50,The Citadel (SoCon),11,4-7,263,10,146,0
50,Stetson (Pioneer),10,3-7,279,10,145,1
50,Southern U. (SWAC),11,4-7,300,10,65,0
50,Grambling (SWAC),11,4-7,320,10,126,1
50,Samford (SoCon),11,4-7,320,10,148,1
50,Maine (CAA),11,6-5,330,10,60,0
50,Weber St. (Big Sky),11,6-5,341,10,259,3
50,Rhode Island (CAA),11,7-4,345,10,185,1
50,Monmouth (Big South),11,7-4,348,10,150,1
50,Prairie View (SWAC),12,7-5,349,10,211,2
50,Richmond (CAA),11,6-5,350,10,178,1
50,Central Ark. (ASUN),11,5-6,354,10,160,2
50,Davidson (Pioneer),11,8-3,358,10,80,1
50,South Dakota (MVFC),12,7-5,373,10,92,1
65,Delaware (CAA),11,5-6,308,9,46,0
65,Portland St. (Big Sky),11,5-6,318,9,24,0
65,Youngstown St. (MVFC),10,3-7,319,9,38,0
65,Central Conn. St. (NEC),11,4-7,325,9,112,1
65,Elon (CAA),11,6-5,330,9,134,0
65,Valparaiso (Pioneer),11,4-7,338,9,216,3
65,Princeton (Ivy League),10,9-1,362,9,153,1
65,Dayton (Pioneer),10,6-4,371,9,173,1
73,UAlbany (CAA),11,2-9,265,8,88,1
73,Sacred Heart (NEC),12,8-4,267,8,90,0
73,Duquesne (NEC),10,7-3,284,8,132,1
73,Lamar University (ASUN),10,1-9,284,8,38,0
73,Drake (Pioneer),10,2-8,289,8,118,0
73,Colgate (Patriot),11,5-6,314,8,10,0
73,Cornell (Ivy League),10,2-8,315,8,139,1
73,Alabama A&M (SWAC),10,7-3,326,8,99,0
73,Jacksonville St. (ASUN),11,5-6,329,8,143,2
73,Yale (Ivy League),10,5-5,331,8,88,1
73,Texas Southern (SWAC),10,2-8,341,8,31,0
73,Morgan St. (MEAC),11,2-9,352,8,65,0
85,Robert Morris (Big South),10,4-6,282,7,73,1
85,Lafayette (Patriot),11,3-8,290,7,154,2
85,Towson (CAA),11,4-7,292,7,132,1
85,Wagner (NEC),11,0-11,304,7,97,0
85,Saint Francis (PA) (NEC),11,5-6,322,7,26,1
85,Northern Colo. (Big Sky),11,3-8,326,7,60,1
85,Tennessee St. (OVC),11,5-6,336,7,57,0
85,Northwestern St. (Southland),11,3-8,337,7,11,0
85,Cal Poly (Big Sky),11,2-9,338,7,111,2
85,Ark.-Pine Bluff (SWAC),11,2-9,346,7,234,2
85,N.C. A&T (Big South),11,5-6,352,7,27,1
85,Fordham (Patriot),11,6-5,369,7,70,0
97,LIU (NEC),10,2-8,284,6,48,0
97,Penn (Ivy League),10,3-7,288,6,42,1
97,Southern Utah (Big Sky),11,1-10,294,6,68,1
97,Dartmouth (Ivy League),10,9-1,299,6,129,1
97,Murray St. (OVC),11,6-5,307,6,166,1
97,Abilene Christian (ASUN),11,5-6,312,6,83,2
97,Western Ill. (MVFC),11,2-9,319,6,104,2
97,Bethune-Cookman (SWAC),11,2-9,332,6,38,0
97,Stony Brook (CAA),11,5-6,339,6,19,0
97,Hampton (Big South),11,5-6,351,6,37,0
97,Idaho St. (Big Sky),11,1-10,360,6,135,1
97,Nicholls (Southland),11,6-5,376,6,98,2
109,VMI (SoCon),11,6-5,309,5,111,1
109,Lehigh (Patriot),11,3-8,343,5,17,0
109,N.C. Central (MEAC),11,6-5,359,5,94,0
109,Houston Baptist (Southland),11,0-11,384,5,70,1
113,Georgetown (Patriot),10,2-8,255,4,37,0
113,Eastern Ill. (OVC),11,1-10,261,4,29,1
113,Bucknell (Patriot),11,1-10,274,4,33,0
113,Brown (Ivy League),10,2-8,296,4,10,0
113,Alabama St. (SWAC),11,5-6,310,4,35,0
113,Idaho (Big Sky),11,4-7,331,4,46,0
119,Alcorn (SWAC),11,6-5,344,3,19,0
119,Tennessee Tech (OVC),11,3-8,357,3,26,0
121,Presbyterian (Pioneer),11,2-9,281,2,127,2
121,Howard (MEAC),11,3-8,289,2,39,0
121,Wofford (SoCon),11,1-10,300,2,-2,0