Rank,Team,G,W-L,RuFD,PaFD,PnFD,FD
1,James Madison (CAA),16,14-2,219,166,12,397
2,North Dakota St. (MVFC),16,16-0,197,132,15,344
3,Montana (Big Sky),14,10-4,110,196,29,335
4,Sacramento St. (Big Sky),13,9-4,144,158,24,326
5,Southeastern La. (Southland),13,8-5,103,194,25,322
6,Monmouth (Big South),14,11-3,130,163,24,317
7,Montana St. (Big Sky),15,11-4,184,102,28,314
8,Southern U. (SWAC),13,8-5,172,115,24,311
9,Houston Baptist (Southland),12,5-7,91,196,18,305
10,Austin Peay (OVC),15,11-4,130,151,21,302
11,South Dakota (MVFC),12,5-7,124,142,31,297
12,Nicholls (Southland),14,9-5,144,123,28,295
13,Villanova (CAA),13,9-4,129,144,20,293
14,Eastern Wash. (Big Sky),12,7-5,110,162,18,290
15,Alabama A&M (SWAC),12,7-5,97,162,28,287
16,Davidson (Pioneer),12,8-4,213,50,18,281
16,Alcorn (SWAC),13,9-4,108,144,29,281
18,UIW (Southland),12,5-7,97,147,36,280
19,Portland St. (Big Sky),12,5-7,120,135,24,279
20,UAlbany (CAA),14,9-5,97,156,24,277
21,Abilene Christian (Southland),12,5-7,109,138,29,276
22,Kennesaw St. (Big South),14,11-3,224,36,13,273
23,Dayton (Pioneer),11,8-3,125,127,19,271
23,Samford (SoCon),12,5-7,135,119,17,271
25,Northern Ariz. (Big Sky),12,4-8,71,167,32,270
26,San Diego (Pioneer),12,9-3,97,151,20,268
27,VMI (SoCon),12,5-7,90,154,22,266
28,Furman (SoCon),13,8-5,158,76,31,265
29,Jacksonville St. (OVC),12,6-6,84,154,25,263
30,Sam Houston (Southland),12,7-5,99,139,24,262
30,Hampton (Big South),12,5-7,117,119,26,262
32,Weber St. (Big Sky),15,11-4,102,134,25,261
32,Towson (CAA),12,7-5,107,127,27,261
34,Tennessee St. (OVC),12,3-9,98,141,20,259
35,Southern Utah (Big Sky),12,3-9,94,143,16,253
36,Northwestern St. (Southland),12,3-9,49,169,34,252
36,North Dakota (FCS Independent),12,7-5,76,155,21,252
36,Idaho (Big Sky),12,5-7,100,126,26,252
36,Prairie View (SWAC),11,6-5,122,114,16,252
40,N.C. A&T (MEAC),12,9-3,129,107,15,251
40,Central Ark. (Southland),13,9-4,71,158,22,251
42,Central Conn. St. (NEC),13,11-2,128,108,14,250
43,Chattanooga (SoCon),12,6-6,123,100,26,249
43,Tennessee Tech (OVC),12,6-6,107,120,22,249
45,UC Davis (Big Sky),12,5-7,67,152,27,246
46,Jackson St. (SWAC),12,4-8,114,105,26,245
47,Yale (Ivy League),10,9-1,87,140,17,244
48,Murray St. (OVC),12,4-8,91,134,17,242
48,The Citadel (SoCon),12,6-6,177,45,20,242
48,Southeast Mo. St. (OVC),13,9-4,103,112,27,242
51,Norfolk St. (MEAC),12,5-7,91,118,32,241
51,Morehead St. (Pioneer),12,5-7,98,127,16,241
51,Youngstown St. (MVFC),12,6-6,119,102,20,241
54,Southern Ill. (MVFC),12,7-5,136,90,13,239
54,Texas Southern (SWAC),11,0-11,102,115,22,239
56,Rhode Island (CAA),12,2-10,62,147,29,238
56,Grambling (SWAC),11,6-5,117,103,18,238
56,Wofford (SoCon),12,8-4,171,54,13,238
59,South Dakota St. (MVFC),13,8-5,129,95,12,236
60,Mercer (SoCon),12,4-8,84,123,28,235
61,Brown (Ivy League),10,2-8,84,133,17,234
61,Maine (CAA),12,6-6,77,139,18,234
63,Fordham (Patriot),12,4-8,88,126,19,233
64,Ark.-Pine Bluff (SWAC),11,6-5,93,124,15,232
65,Stony Brook (CAA),12,5-7,109,107,15,231
65,Florida A&M (MEAC),11,9-2,65,146,20,231
67,Northern Colo. (Big Sky),12,2-10,72,133,25,230
68,Stetson (Pioneer),11,7-4,113,108,8,229
68,Lamar University (Southland),12,4-8,109,101,19,229
68,Illinois St. (MVFC),15,10-5,134,75,20,229
71,Idaho St. (Big Sky),12,3-9,86,121,21,228
72,SFA (Southland),12,3-9,78,128,18,224
72,McNeese (Southland),12,7-5,90,114,20,224
74,Campbell (Big South),11,6-5,116,88,19,223
75,Eastern Ky. (OVC),12,7-5,112,88,21,221
75,Charleston So. (Big South),12,6-6,95,98,28,221
77,Richmond (CAA),12,5-7,91,111,18,220
77,Delaware (CAA),12,5-7,102,99,19,220
77,Indiana St. (MVFC),12,5-7,118,89,13,220
80,Saint Francis (PA) (NEC),12,6-6,68,125,25,218
81,Cal Poly (Big Sky),11,3-8,155,47,15,217
81,Princeton (Ivy League),10,8-2,96,116,5,217
83,UNI (MVFC),15,10-5,84,117,15,216
84,Western Ill. (MVFC),12,1-11,73,120,21,214
84,Gardner-Webb (Big South),12,3-9,67,118,29,214
86,William & Mary (CAA),12,5-7,120,76,17,213
86,Sacred Heart (NEC),12,7-5,88,103,22,213
88,Holy Cross (Patriot),13,7-6,77,117,18,212
88,South Carolina St. (MEAC),11,8-3,90,102,20,212
90,Duquesne (NEC),11,6-5,93,94,24,211
91,Howard (MEAC),12,2-10,96,86,27,209
91,Colgate (Patriot),12,4-8,97,96,16,209
93,Elon (CAA),11,5-6,86,98,24,208
94,Penn (Ivy League),10,5-5,70,116,19,205
94,Lafayette (Patriot),12,4-8,81,106,18,205
96,Butler (Pioneer),12,3-9,92,89,23,204
97,Drake (Pioneer),11,6-5,79,112,12,203
97,Jacksonville (Pioneer),12,3-9,163,31,9,203
97,UT Martin (OVC),12,7-5,69,113,21,203
100,Morgan St. (MEAC),12,3-9,82,95,21,198
100,Presbyterian (Big South),12,2-10,85,96,17,198
100,Western Caro. (SoCon),12,3-9,87,97,14,198
100,Harvard (Ivy League),10,4-6,73,101,24,198
104,Missouri St. (MVFC),11,1-10,45,119,31,195
104,Georgetown (Patriot),11,5-6,87,92,16,195
106,ETSU (SoCon),12,3-9,107,77,9,193
107,New Hampshire (CAA),11,6-5,76,97,19,192
107,Dartmouth (Ivy League),10,9-1,97,86,9,192
109,Bucknell (Patriot),11,3-8,66,102,22,190
109,Bryant (NEC),12,4-8,70,104,16,190
109,Eastern Ill. (OVC),12,1-11,73,91,26,190
109,Alabama St. (SWAC),11,5-6,68,104,18,190
113,N.C. Central (MEAC),12,4-8,80,88,20,188
114,Delaware St. (MEAC),12,2-10,90,83,12,185
115,Cornell (Ivy League),10,4-6,74,100,9,183
116,Valparaiso (Pioneer),12,1-11,73,88,16,177
117,Columbia (Ivy League),10,3-7,67,89,20,176
117,Lehigh (Patriot),11,4-7,53,109,14,176
119,Robert Morris (NEC),12,7-5,82,77,13,172
120,Wagner (NEC),12,1-11,46,101,23,170
120,Bethune-Cookman (MEAC),11,7-4,83,71,16,170
122,Marist (Pioneer),11,4-7,56,98,15,169
123,Mississippi Val. (SWAC),11,2-9,89,54,25,168
124,LIU (NEC),10,0-10,52,60,15,127