Rank,Team,G,W-L,4th Conv,4th Att,Pct
1,Idaho St. (Big Sky),6,2-4,2,2,1
2,James Madison (CAA),8,7-1,12,14,0.857
3,Delaware (CAA),8,7-1,9,11,0.818
4,Holy Cross (Patriot),4,3-1,4,5,0.8
4,William & Mary (CAA),3,1-2,4,5,0.8
6,Southeastern La. (Southland),7,4-3,12,16,0.75
6,Texas Southern (SWAC),2,0-2,3,4,0.75
6,UNI (MVFC),7,3-4,3,4,0.75
9,Youngstown St. (MVFC),7,1-6,11,15,0.733
10,Montana (Big Sky),2,2-0,5,7,0.714
11,Eastern Wash. (Big Sky),7,5-2,14,20,0.7
11,VMI (SoCon),8,6-2,14,20,0.7
11,Richmond (CAA),4,3-1,7,10,0.7
14,Southern Utah (Big Sky),6,1-5,8,12,0.667
14,Wofford (SoCon),5,1-4,6,9,0.667
14,Wagner (NEC),2,0-2,2,3,0.667
17,Southeast Mo. St. (OVC),8,4-4,11,17,0.647
17,Tennessee Tech (OVC),7,2-5,11,17,0.647
19,Nicholls (Southland),7,4-3,9,14,0.643
20,Austin Peay (OVC),9,4-5,14,22,0.636
21,Delaware St. (MEAC),5,2-3,5,8,0.625
21,Duquesne (NEC),5,4-1,5,8,0.625
23,The Citadel (SoCon),12,2-10,26,42,0.619
24,Kennesaw St. (Big South),5,4-1,8,13,0.615
25,Bryant (NEC),4,2-2,6,10,0.6
25,Houston Baptist (Southland),4,1-3,3,5,0.6
27,Southern Ill. (MVFC),10,6-4,11,19,0.579
28,Davidson (Pioneer),7,4-3,15,26,0.577
29,Eastern Ky. (OVC),9,3-6,8,14,0.571
29,Monmouth (Big South),4,3-1,8,14,0.571
31,Alabama St. (SWAC),5,2-3,5,9,0.556
32,Presbyterian (Independent),7,4-3,12,22,0.545
33,Sam Houston (Southland),10,10-0,8,15,0.533
34,SFA (Southland),10,6-4,10,20,0.5
34,Furman (SoCon),7,3-4,9,18,0.5
34,Idaho (Big Sky),6,2-4,8,16,0.5
34,Northwestern St. (Southland),6,1-5,7,14,0.5
34,UT Martin (OVC),7,3-4,7,14,0.5
34,Western Ill. (MVFC),6,1-5,7,14,0.5
34,Samford (SoCon),7,4-3,6,12,0.5
34,Bucknell (Patriot),4,2-2,5,10,0.5
34,Central Ark. (Southland),9,5-4,4,8,0.5
34,Colgate (Patriot),2,0-2,4,8,0.5
34,Prairie View (SWAC),3,2-1,4,8,0.5
34,Campbell (Big South),4,0-4,3,6,0.5
34,LIU (NEC),4,2-2,3,6,0.5
34,Alabama A&M (SWAC),4,4-0,2,4,0.5
34,Drake (Pioneer),5,2-3,2,4,0.5
49,South Dakota St. (MVFC),10,8-2,5,11,0.455
50,Albany (NY) (CAA),4,1-3,4,9,0.444
50,Northern Ariz. (Big Sky),5,3-2,4,9,0.444
52,Jacksonville St. (OVC),13,10-3,7,16,0.438
53,Elon (CAA),6,1-5,3,7,0.429
53,San Diego (Pioneer),6,4-2,3,7,0.429
53,Villanova (CAA),4,2-2,3,7,0.429
56,Butler (Pioneer),6,0-6,8,19,0.421
57,North Dakota St. (MVFC),10,7-3,5,12,0.417
57,UC Davis (Big Sky),5,3-2,5,12,0.417
59,Abilene Christian (Southland),6,1-5,6,15,0.4
59,Fordham (Patriot),3,2-1,4,10,0.4
59,Mississippi Val. (SWAC),3,0-3,4,10,0.4
59,Grambling (SWAC),4,0-4,2,5,0.4
59,Howard (MEAC),2,0-2,2,5,0.4
59,Illinois St. (MVFC),4,1-3,2,5,0.4
59,New Hampshire (CAA),1,0-1,2,5,0.4
59,South Dakota (MVFC),4,1-3,2,5,0.4
59,Weber St. (Big Sky),6,5-1,2,5,0.4
68,Mercer (SoCon),11,5-6,5,13,0.385
69,Chattanooga (SoCon),5,3-2,6,16,0.375
69,Morehead St. (Pioneer),7,4-3,3,8,0.375
69,Sacred Heart (NEC),5,3-2,3,8,0.375
72,Lamar University (Southland),6,2-4,4,11,0.364
72,Valparaiso (Pioneer),6,4-2,4,11,0.364
74,UIW (Southland),6,3-3,5,14,0.357
75,Missouri St. (MVFC),10,5-5,5,15,0.333
75,McNeese (Southland),7,3-4,3,9,0.333
75,Charleston So. (Big South),4,2-2,2,6,0.333
75,Jackson St. (SWAC),6,3-3,2,6,0.333
75,Lafayette (Patriot),3,2-1,2,6,0.333
75,Murray St. (OVC),7,5-2,2,6,0.333
75,Robert Morris (Horizon),3,0-3,2,6,0.333
75,South Carolina St. (MEAC),4,3-1,2,6,0.333
75,Southern U. (SWAC),5,4-1,2,6,0.333
75,Rhode Island (CAA),3,2-1,1,3,0.333
85,Eastern Ill. (OVC),6,1-5,10,31,0.323
86,Ark.-Pine Bluff (SWAC),5,4-1,3,10,0.3
86,North Dakota (MVFC),7,5-2,3,10,0.3
88,Cal Poly (Big Sky),3,0-3,3,11,0.273
89,Western Caro. (SoCon),9,1-8,4,16,0.25
89,Tennessee St. (OVC),7,2-5,3,12,0.25
91,Stetson (Pioneer),4,0-4,3,13,0.231
92,ETSU (SoCon),6,4-2,2,9,0.222
93,Gardner-Webb (Big South),4,2-2,3,14,0.214
94,Maine (CAA),4,2-2,1,6,0.167
94,Stony Brook (CAA),4,1-3,1,6,0.167
96,Lehigh (Patriot),3,0-3,1,7,0.143
97,Portland St. (Big Sky),1,0-1,0,3,0