Rank,Team,G,W-L,3rd Att,3rd Conv,Pct
1,Davidson (Pioneer),12,8-4,168,96,0.571
2,James Madison (CAA),16,14-2,233,125,0.536
3,Dartmouth (Ivy League),10,9-1,117,61,0.521
4,North Dakota St. (MVFC),16,16-0,190,96,0.505
5,Dayton (Pioneer),11,8-3,111,56,0.505
6,Southern U. (SWAC),13,8-5,158,79,0.5
7,Villanova (CAA),13,9-4,176,87,0.494
8,San Diego (Pioneer),12,9-3,155,76,0.49
9,Montana (Big Sky),14,10-4,195,91,0.467
10,Towson (CAA),12,7-5,144,67,0.465
11,Princeton (Ivy League),10,8-2,139,64,0.46
12,Furman (SoCon),13,8-5,161,74,0.46
13,Florida A&M (MEAC),11,9-2,161,73,0.453
14,Wofford (SoCon),12,8-4,153,69,0.451
15,Monmouth (Big South),14,11-3,198,88,0.444
16,South Dakota (MVFC),12,5-7,178,79,0.444
17,Duquesne (NEC),11,6-5,162,71,0.438
18,The Citadel (SoCon),12,6-6,184,80,0.435
19,Yale (Ivy League),10,9-1,145,63,0.434
20,Portland St. (Big Sky),12,5-7,183,79,0.432
21,Sacred Heart (NEC),12,7-5,186,80,0.43
22,Cal Poly (Big Sky),11,3-8,177,76,0.429
23,Kennesaw St. (Big South),14,11-3,159,68,0.428
24,Jacksonville (Pioneer),12,3-9,152,65,0.428
25,Alcorn (SWAC),13,9-4,186,79,0.425
26,Brown (Ivy League),10,2-8,158,67,0.424
27,Eastern Wash. (Big Sky),12,7-5,184,78,0.424
28,Hampton (Big South),12,5-7,168,71,0.423
29,Drake (Pioneer),11,6-5,147,62,0.422
30,Norfolk St. (MEAC),12,5-7,171,72,0.421
30,South Dakota St. (MVFC),13,8-5,152,64,0.421
32,Austin Peay (OVC),15,11-4,221,93,0.421
33,Sacramento St. (Big Sky),13,9-4,183,77,0.421
34,N.C. A&T (MEAC),12,9-3,154,64,0.416
35,Grambling (SWAC),11,6-5,171,71,0.415
36,Tennessee St. (OVC),12,3-9,170,70,0.412
37,Rhode Island (CAA),12,2-10,175,72,0.411
38,Northern Ariz. (Big Sky),12,4-8,180,74,0.411
39,Southeastern La. (Southland),13,8-5,191,78,0.408
40,Prairie View (SWAC),11,6-5,152,62,0.408
41,North Dakota (FCS Independent),12,7-5,155,63,0.406
42,Nicholls (Southland),14,9-5,160,65,0.406
43,Youngstown St. (MVFC),12,6-6,156,63,0.404
44,Chattanooga (SoCon),12,6-6,171,69,0.404
45,Jacksonville St. (OVC),12,6-6,174,70,0.402
46,Alabama A&M (SWAC),12,7-5,172,69,0.401
47,Western Caro. (SoCon),12,3-9,182,73,0.401
48,Morehead St. (Pioneer),12,5-7,181,72,0.398
49,Houston Baptist (Southland),12,5-7,177,70,0.395
50,Samford (SoCon),12,5-7,172,68,0.395
51,Alabama St. (SWAC),11,5-6,170,67,0.394
52,Central Ark. (Southland),13,9-4,188,74,0.394
53,Penn (Ivy League),10,5-5,140,55,0.393
54,Elon (CAA),11,5-6,151,59,0.391
55,VMI (SoCon),12,5-7,183,71,0.388
56,Charleston So. (Big South),12,6-6,186,72,0.387
57,Mercer (SoCon),12,4-8,163,63,0.387
58,Abilene Christian (Southland),12,5-7,190,73,0.384
59,Stony Brook (CAA),12,5-7,172,66,0.384
60,Richmond (CAA),12,5-7,146,56,0.384
61,UT Martin (OVC),12,7-5,162,62,0.383
62,Tennessee Tech (OVC),12,6-6,183,70,0.383
63,Eastern Ky. (OVC),12,7-5,189,72,0.381
64,Georgetown (Patriot),11,5-6,142,54,0.38
65,Southern Utah (Big Sky),12,3-9,191,72,0.377
66,Marist (Pioneer),11,4-7,154,58,0.377
67,Maine (CAA),12,6-6,160,60,0.375
68,Idaho (Big Sky),12,5-7,179,67,0.374
69,Stetson (Pioneer),11,7-4,163,61,0.374
70,Morgan St. (MEAC),12,3-9,174,65,0.374
71,Northwestern St. (Southland),12,3-9,191,71,0.372
72,Southern Ill. (MVFC),12,7-5,162,60,0.37
72,New Hampshire (CAA),11,6-5,162,60,0.37
74,Indiana St. (MVFC),12,5-7,165,61,0.37
75,UC Davis (Big Sky),12,5-7,184,68,0.37
76,William & Mary (CAA),12,5-7,176,65,0.369
77,Fordham (Patriot),12,4-8,185,68,0.368
78,Montana St. (Big Sky),15,11-4,215,79,0.367
79,UIW (Southland),12,5-7,179,65,0.363
80,Central Conn. St. (NEC),13,11-2,157,57,0.363
81,Texas Southern (SWAC),11,0-11,188,68,0.362
82,ETSU (SoCon),12,3-9,158,57,0.361
83,Delaware (CAA),12,5-7,161,58,0.36
84,South Carolina St. (MEAC),11,8-3,150,54,0.36
85,Holy Cross (Patriot),13,7-6,189,68,0.36
86,Campbell (Big South),11,6-5,148,53,0.358
87,Albany (NY) (CAA),14,9-5,182,65,0.357
88,Saint Francis (PA) (NEC),12,6-6,171,61,0.357
89,Presbyterian (Big South),12,2-10,157,55,0.35
90,Harvard (Ivy League),10,4-6,140,49,0.35
91,Murray St. (OVC),12,4-8,172,60,0.349
92,Weber St. (Big Sky),15,11-4,222,77,0.347
93,Northern Colo. (Big Sky),12,2-10,182,63,0.346
94,Sam Houston (Southland),12,7-5,203,69,0.34
95,Columbia (Ivy League),10,3-7,156,53,0.34
96,LIU (NEC),10,0-10,145,49,0.338
97,Bethune-Cookman (MEAC),11,7-4,149,50,0.336
98,SFA (Southland),12,3-9,200,67,0.335
99,McNeese (Southland),12,7-5,202,67,0.332
100,Idaho St. (Big Sky),12,3-9,178,59,0.331
101,Jackson St. (SWAC),12,4-8,171,56,0.327
102,Colgate (Patriot),12,4-8,162,53,0.327
103,Illinois St. (MVFC),15,10-5,193,63,0.326
104,Gardner-Webb (Big South),12,3-9,157,51,0.325
105,Ark.-Pine Bluff (SWAC),11,6-5,142,46,0.324
106,Robert Morris (NEC),12,7-5,152,49,0.322
107,Southeast Mo. St. (OVC),13,9-4,177,57,0.322
108,UNI (MVFC),15,10-5,205,66,0.322
109,Butler (Pioneer),12,3-9,162,52,0.321
110,Howard (MEAC),12,2-10,184,59,0.321
111,Lafayette (Patriot),12,4-8,173,55,0.318
112,Lehigh (Patriot),11,4-7,170,54,0.318
113,Bucknell (Patriot),11,3-8,174,55,0.316
114,Cornell (Ivy League),10,4-6,146,46,0.315
115,Bryant (NEC),12,4-8,174,54,0.31
116,Western Ill. (MVFC),12,1-11,187,58,0.31
117,Valparaiso (Pioneer),12,1-11,188,57,0.303
118,Delaware St. (MEAC),12,2-10,165,50,0.303
119,N.C. Central (MEAC),12,4-8,180,54,0.3
120,Lamar University (Southland),12,4-8,197,59,0.299
121,Wagner (NEC),12,1-11,158,46,0.291
122,Mississippi Val. (SWAC),11,2-9,186,54,0.29
123,Eastern Ill. (OVC),12,1-11,202,54,0.267
124,Missouri St. (MVFC),11,1-10,161,43,0.267